[12:18:21] [User Authenticator #5/INFO]: UUID of player josephpalmercouk is 87dea0fb-d2fb-4a3e-b941-9c7be77a13a2
[12:18:21] [Server thread/INFO]: josephpalmercouk joined the game
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:13] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:14] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:15] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:16] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:17] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:18] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:19] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:20] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:21] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:22] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:23] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:23] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:23] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:23] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
[12:22:23] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[12:22:23] [Server thread/WARN]: Ignoring unknown attribute 'forge:step_height_addition'
